input_path,output_path,mode_requested,mode_used,status,returncode,message,started_utc,finished_utc
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\1a3a52d0db87464d_1293628bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\1a3a52d0db87464d_1293628bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:12.996195+00:00,2026-05-23T00:35:12.997195+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\1b68b390a7d5fc3e_1396088bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\1b68b390a7d5fc3e_1396088bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:12.997195+00:00,2026-05-23T00:35:12.998197+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\1fdb5a2e543214f6_1130256bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\1fdb5a2e543214f6_1130256bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:12.998197+00:00,2026-05-23T00:35:12.999194+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\320c1388e2273af7_1347960bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\320c1388e2273af7_1347960bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:12.999194+00:00,2026-05-23T00:35:13.000195+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\39a6536820d04ba7_2083228bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\39a6536820d04ba7_2083228bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.001194+00:00,2026-05-23T00:35:13.001194+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\420f77869ea3a3c3_1125556bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\420f77869ea3a3c3_1125556bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.002194+00:00,2026-05-23T00:35:13.002194+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\4ec523a4012e3239_1855372bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\4ec523a4012e3239_1855372bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.003196+00:00,2026-05-23T00:35:13.003196+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\62295e52bf51c4be_1391764bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\62295e52bf51c4be_1391764bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.004195+00:00,2026-05-23T00:35:13.004195+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\66c4ce6499677776_1955012bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\66c4ce6499677776_1955012bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.005194+00:00,2026-05-23T00:35:13.006194+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\6745784dbef1ea9e_1339688bytes.ts,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\6745784dbef1ea9e_1339688bytes.mp4,auto,,skipped,0,Output already exists. Use --overwrite to replace.,2026-05-23T00:35:13.007195+00:00,2026-05-23T00:35:13.007195+00:00
C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\75bd5799a8f4a45f_339bytes.m3u8,C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos_mp4\75bd5799a8f4a45f_339bytes.mp4,auto,reencode,failed,4294967294,"[in#0 @ 000002441f326180] Error opening input: No such file or directory
Error opening input file C:\Users\ASUS\Documents\Personal Projects\Image Harvester\V11\site_image_harvest\videos\75bd5799a8f4a45f_339bytes.m3u8.
Error opening input files: No such file or directory",2026-05-23T00:35:13.008197+00:00,2026-05-23T00:35:13.257385+00:00
